no;Timestamp;incident_id;incident_rel;date;day;month;year;province;province_id;district_city;district_city_id;sub_district;sub_district_id;village;village_id;actor1a;actor1a_t;actor1a_vm;actor1b;actor1b_t;actor1b_vm;actor1_tot;actor2a;actor2a_t;actor2a_vm;actor2b;actor2b_t;actor2b_vm;actor2_tot;violence_form1;violence_form2;weapon_type1;weapon_type2;issue_type1;issue_type2;covid_rel;num_death;num_injured;death_injured;fem_death;fem_injured;child_death;child_injured;infra_damage;infra_destroyed;intervene;intervene_actor1;intervene_actor_type1;intervene_actor2;intervene_actor_type2;intervene_result;inc_desc;notes;
11; 20/08/2021 15:39:34;19MU14082101;;07/08/21;7;8;2021;KEPULAUAN BANGKA BELITUNG;19;KOTA PANGKAL PINANG;1971;GERUNGGANG;1971041;KACANG PEDANG;1971041002;KRIMINAL;AKTOR NON NEGARA;TIDAK;;;;4;PEMUDA;AKTOR NON NEGARA;TIDAK;;;;1;PESAN ULTIMATUM;;SENJATA JARAK DEKAT;;ISU SUMBER DAYA;;;;;0;;;;;;;TIDAK;;;;;;Komplotan begal yang terdiri atas 4 remaja asal Sungai Selan, menghampiri korban, mengalungi celurit, dan mengancam dengan parang dan pisau kepada seorang mahasiswa pada 7 Agustus 2021 di Taman Mandara, Kota Pangkal Pinang.;;
12; 20/08/2021 15:41:38;32AS18082101;;18/08/21;18;8;2021;JAWA BARAT;32;KABUPATEN CIREBON;3209;TALUN;3209111;CIREBON GIRANG;3209111004;GENG MOTOR;AKTOR NON NEGARA;TIDAK;;;;-99;POLISI;AKTOR NEGARA;TIDAK;;;;-99;SERANGAN BERSENJATA;SERANGAN TANPA SENJATA;SENJATA JARAK DEKAT;SENJATA API;ISU MAIN HAKIM SENDIRI;ISU PENEGAKAN HUKUM;;;;0;;;;;;;TIDAK;;;;;;Pada tanggal 18 Agustus 2021 di provinsi Cirebon, kecamatan Talun, Desa Cirebon, seorang ketua geng motor melakukan aksi serang terhadap polisi yang sedang melakukan patroli malam, aksi ini diikuti oleh kawan-kawannya yang setelah ditodong polisi kabur;;
13; 20/08/2021 15:49:11;62AX06022101;;06/02/21;6;2;2021;KALIMANTAN TENGAH;62;KOTA PALANGKA RAYA;6271;SABANGAU;6271011;;;SERIKAT PETANI (PERKEBUNAN KARET RAKYAT HAPAKAT);AKTOR NON NEGARA;TIDAK;;;;-99;KRIMINAL;AKTOR NON NEGARA;TIDAK;;;;12;SERANGAN TANPA SENJATA;SERANGAN BERSENJATA;SENJATA JARAK DEKAT;SENJATA API;ISU SUMBER DAYA;;;;1;1;;;;;;;IYA;SERIKAT PETANI (ASPANDI);AKTOR NON NEGARA;;;TIDAK JELAS;Pada 6 Februari 2021, petani berinisial AK yang merupakan bagian dari Kelompok Tani Perkebunan Karet Rakyat Hapakat didatangi oleh sekelompok preman yang hendak membicarakan patokan sebuah lahan di kelurahan Kalampangan, Sebangau, Palangkaraya. Preman tersebut menganiaya AK dengan menggunakan senjata tajam dan juga pistol.;;
14; 20/08/2021 16:02:22;12RL21052101;;21/05/21;21;5;2021;LAMPUNG;18;KABUPATEN LAMPUNG UTARA;1806;ABUNG SELATAN;1806050;ABUNG JAYO;1806050014;KRIMINAL;AKTOR NON NEGARA;TIDAK;;;;2;WARGA;AKTOR NON NEGARA;TIDAK;;;;3;SERANGAN BERSENJATA;;SENJATA API;;ISU MAIN HAKIM SENDIRI;;;1;3;4;;;;;;;IYA;PEJABAT PUBLIK (KEPALA DESA ABUNG JAYO);AKTOR NEGARA;POLISI (KEPOLISIAN RESOR LAMPUNG UTARA);AKTOR NEGARA;BERHASIL;Pada 21 Mei 2021, dua orang begal dikepung oleh warga desa Abung Jayo (1 orang tewas, dan 1 diamankan oleh Polres Lampung Utara) setelah berhasil mencuri motor seorang korban. Pelaku begal sempat dua kali menembakan senjata api.;;
15; 20/08/2021 16:06:40;11AS10082101;;10/08/21;10;8;2021;ACEH;11;KABUPATEN PIDIE;1109;PEUKAN BARO;1109170;MEE HAGU;1109170047;WARGA;AKTOR NON NEGARA;TIDAK;PETUGAS KEAMANAN (SATUAN POLISI PAMONG PRAJA);AKTOR NEGARA;TIDAK;-99;WARGA;AKTOR NON NEGARA;TIDAK;;;;2;INTIMIDASI MASSA/PUBLIK;;TIDAK JELAS;;ISU MAIN HAKIM SENDIRI;ISU PENEGAKAN HUKUM;;;;0;;;;;;;TIDAK JELAS;;;;;;Pada 10 Agustus 2021 di Gampong Mee Hagu dua pasangan nonmuhrim ditangkap oleh warga dan satpol PP didepan rumah;;
16; 20/08/2021 16:39:33;12RL21052102;;21/05/21;21;5;2021;LAMPUNG;18;KABUPATEN LAMPUNG UTARA;1806;ABUNG SELATAN;1806050;KEMBANG TANJUNG;1806050012;KRIMINAL;AKTOR NON NEGARA;TIDAK;;;;2;WARGA;AKTOR NON NEGARA;TIDAK;;;;1;SERANGAN BERSENJATA;;SENJATA API;;ISU KRIMINAL;;;;1;1;;;;;;;IYA;WARGA;AKTOR NEGARA;PEJABAT PUBLIK (KEPALA DESA ABUNG JAYO);AKTOR NEGARA;BERHASIL;Pada 21 Mei 2021 di Gang Otong Dusun Tunggal Binangun Desa Kembang Tanjung korban diikuti oleh 2 begal, kemudian dipepet, begal menembak 2 kali dan membawa pergi motor korban.;;
17; 22/08/2021 18:50:36;31AS17082101;;17/08/21;17;8;2021;DKI JAKARTA;31;KOTA JAKARTA UTARA;3175;KOJA;3175040;;;KRIMINAL;AKTOR NON NEGARA;TIDAK;;;;1;WARGA;AKTOR NON NEGARA;TIDAK;;;;-99;SERANGAN TANPA SENJATA;;SENJATA JARAK DEKAT;;ISU MAIN HAKIM SENDIRI;;;;1;1;;;;;;;IYA;POLISI;AKTOR NEGARA;;;BERHASIL;Pada tanggal 17 Agustus 2021 di kecamatan Koja, Jakarta Selatan. Seorang maling motor yang hendak kabur berhasil digagalkan dan dikeroyok oleh warga;;
18; 22/08/2021 19:57:52;31AS08082101;;08/08/21;8;8;2021;DKI JAKARTA;31;KOTA JAKARTA BARAT;3174;CENGKARENG;3174070;;;WARGA;AKTOR NON NEGARA;TIDAK;;;;1;PEMUDA;AKTOR NON NEGARA;TIDAK;;;;4;SERANGAN TANPA SENJATA;;SENJATA JARAK DEKAT;;ISU MAIN HAKIM SENDIRI;;;1;;1;;;;;;;TIDAK;;;;;;Pada tanggal 8 Agustus 2021 tepatnya di kawasan Daan Mogot, Cengkareng Jakarta Barat terdapat 4 remaja yang membacok seorang korban yang disebabkan oleh saling ejek di sosial media;;
19; 22/08/2021 20:09:16;31AS19082101;;19/08/21;19;8;2021;DKI JAKARTA;31;KOTA JAKARTA SELATAN;3171;MAMPANG PRAPATAN;3171070;;;WARGA;AKTOR NON NEGARA;TIDAK;;;;7;WARGA;AKTOR NON NEGARA;TIDAK;;;;4;SERANGAN TANPA SENJATA;;SENJATA JARAK DEKAT;;ISU MAIN HAKIM SENDIRI;;;1;;1;;;;;;;TIDAK;;;;;;Pada tanggal 19 Agustus 2021 tepatnya di Mampang Prapatan, Jakarta Selatan. Terdapat tawuran antara dua kelompok yang dipicu oleh saling serang di media sosial. Hal ini menimbulkan 1 orang korban pembacokan;;
20; 22/08/2021 20:23:52;32AS18082102;;18/08/21;18;8;2021;JAWA BARAT;32;KABUPATEN BEKASI;3216;TARUMAJAYA;3216100;SEGARAMAKMUR;3216100005;PEMUDA;AKTOR NON NEGARA;TIDAK;;;;-99;PEMUDA;AKTOR NON NEGARA;TIDAK;;;;-99;SERANGAN TANPA SENJATA;INTIMIDASI MASSA/PUBLIK;SENJATA JARAK DEKAT;;ISU MAIN HAKIM SENDIRI;;;1;;1;;;;;;;TIDAK;;;;;;Pada tanggal 18 Agustus 2021 tepatnya di desa Segaramakmur, Kecamatan Tarumajaya, Bekasi. Terjadi tawuran remaja yang disebabkan oleh aksi saling ejek antara dua kelompok remaja;;
21; 22/08/2021 20:37:47;32AS15082101;;15/08/21;15;8;2021;JAWA BARAT;32;KOTA BEKASI;3275;BEKASI BARAT;3275060;;;WARGA;AKTOR NON NEGARA;TIDAK;;;;2;ORGANISASI MASYARAKAT (ORMAS);AKTOR NON NEGARA;TIDAK;;;;15;SERANGAN TANPA SENJATA;INTIMIDASI MASSA/PUBLIK;TIDAK JELAS;;TIDAK JELAS;;;;2;2;;;;;;;TIDAK;;;;;;Pada tanggal 15 Agustus 2021 tepatnya di Perumahan Duta Bekasi, Kecamatan Bekasi Barat, Kota Bekasi, Jawa Barat. Terdapat pengeroyokan terhadap 2 juru parkir oleh kelompok ormas, belum jelas motif dari penyerangan tersebut;;
22; 22/08/2021 22:33:09;62AX07052101;;07/05/21;7;5;2021;KALIMANTAN TENGAH;62;KABUPATEN KAPUAS;6203;KAPUAS KUALA;6203020;;;WARGA;AKTOR NON NEGARA;TIDAK;;;;-99;PEMILIK USAHA (PT KAPUAS SAWIT SEJAHTERA);AKTOR PERUSAHAAN SWASTA;TIDAK;;;;-99;SERANGAN INFRASTRUKTUR/PENUTUPAN PAKSA;;TIDAK JELAS;;ISU SUMBER DAYA;;;;;0;;;;;;;IYA;PEJABAT PUBLIK (PEMERINTAH DAERAH);AKTOR NEGARA;;;TIDAK BERHASIL;Pada 7 Mei 2021, terdapat gerakan protes yang menggunakan ritual Hinting Pali oleh warga dari lima desa di Kapuas KUALA. para warga memasang ritual tersebut sebagai bentuk protes terhadap PT. Kapuas Sawit Sejahtera (PT KSS). Menurut keterangan warga, terdapat 700 hektare lahan yang digarap oleh PT KSS tanpa sepengetahuan warga sehingga banyak warga kesulitan untuk bertahan hidup.;;
23; 23/08/2021 12:17:30;62AX21082101;;21/08/21;21;8;2021;KALIMANTAN TENGAH;62;KABUPATEN BARITO TIMUR;6212;DUSUN TIMUR;6212020;;;KELOMPOK ADAT (KOMUNITAS KADAMANGAN PAKU KARAU);AKTOR NON NEGARA;IYA;KELOMPOK ADAT (KADAMANGAN BINTANG AWAI);AKTOR NON NEGARA;IYA;-99;PEMILIK USAHA (PT PIJAR);AKTOR PERUSAHAAN SWASTA;TIDAK;;;;-99;SERANGAN INFRASTRUKTUR/PENUTUPAN PAKSA;;TIDAK JELAS;;ISU SUMBER DAYA;;;;;0;;;;;;;IYA;GARAKAN MANDAU TALABANG PANCASILA SAKTI (GMTPS);AKTOR NON NEGARA;;;TIDAK JELAS;21 Agustus 2021, Kadamangan Paku Karau dan Kadamangan Bintang Awai melakukan penyegelan terhadap PT Pijar. Penyegelan diindikasi karena PT Pijar tidak menanggapi Keputusan Sidang Majelis Kerapatan Mantir Perdamaian Adat No. 34/KPYS/DKA-GBA-PK/VIII/2021 tentang penyelesaian sengketa lahan tambang batubara eks PT Berkala Internasional.;;
24; 23/08/2021 14:23:48;64RL17082101;;17/08/21;17;8;2021;KALIMANTAN TIMUR;64;KOTA BALIKPAPAN;6471;BALIKPAPAN KOTA;6471011;;;KRIMINAL;AKTOR NON NEGARA;TIDAK;;;;4;POLISI;AKTOR NEGARA;TIDAK;;;;3;SERANGAN BERSENJATA;;SENJATA API;SENJATA API;ISU PENEGAKAN HUKUM;;;;4;4;;;;;;;TIDAK;;;;;;Pada tanggal 17 Agustus 2021, 4 orang perampok akhirnya ditangkap di Balikpapan oleh Tim Gabungan Jatanras Polda Kaltim bersama Jatanras Polda Riau. Keeempat erampok tersebut mencoba untuk melarikan diri sehingga keempatnya dihadiahi timah panas.;;
25; 23/08/2021 17:57:16;13AS20072101;;20/07/21;20;7;2021;SUMATERA BARAT;13;KOTA PADANG;1371;;;;;PELAJAR (SMP);AKTOR NON NEGARA;TIDAK;;;;2;PELAJAR (SMP);AKTOR NON NEGARA;TIDAK;;;;15;SERANGAN TANPA SENJATA;;SENJATA JARAK DEKAT;;TIDAK JELAS;;;1;1;2;;;;;;;TIDAK;;;;;;Pada tanggal 20 Juli 2021, Padang, 2 pelajar menjadi korban pengeroyokan oleh kelompok pelajar lainnya. Belum diketahui sebab pastinya;;
26; 23/08/2021 18:13:59;13AS07072101;;07/07/21;7;7;2021;SUMATERA BARAT;13;KABUPATEN PASAMAN;1309;PANTI;1309110;;;WARGA;AKTOR NON NEGARA;TIDAK;;;;2;KRIMINAL;AKTOR NON NEGARA;TIDAK;;;;2;SERANGAN TANPA SENJATA;;SENJATA JARAK DEKAT;;TIDAK JELAS;;;1;1;2;;;;;;;TIDAK;;;;;;Pada tanggal 7 Juli 2021 di Pasaman, Kecamatan Panti, Sumatera Barat. Terjadi Penganiayaan terhadap 2 korban oleh 2 tersangka. Belum jelas sebab dari penganiayaan tersebut;;
27; 23/08/2021 21:38:20;94HS24091901;;24/09/19;24;9;2019;PAPUA;94;KOTA JAYAPURA;9471;HERAM;9471021;;;TNI (KODIM 1702/WAMENA);AKTOR NEGARA;TIDAK;POLISI (KEPOLISIAN DAERAH PAPUA);AKTOR NEGARA;TIDAK;-99;PELAJAR (MAHASISWA);AKTOR NON NEGARA;IYA;;;;300;SERANGAN BERSENJATA;SERANGAN TANPA SENJATA;SENJATA API;SENJATA JARAK DEKAT;ISU IDENTITAS;;;21;75;96;;;;;;;TIDAK;;;;;;Pada tanggal 24 September 2019, pasukan keamanan Indonesia mengepung dan menyerbu kerumunan mahasiswa/i Orang Asli Papua (OAP) di Auditorium Universitas Cenderawasih yang hendak berlindung dari tindakan kekerasan rasialis di banyak kota di Indonesia. Sekitar 21 orang meninggal, 10 dalam perawatan intensif, 65 mengalami cedera berat.;;
28; 23/08/2021 22:04:34;73RM10082101;;10/08/21;10;8;2021;SULAWESI SELATAN;73;KOTA MAKASSAR;7371;MAKASSAR;7371040;MACCINI PARANG;7371040010;PEMUDA;AKTOR NON NEGARA;TIDAK;;;;-99;PEMUDA;AKTOR NON NEGARA;TIDAK;;;;-99;SERANGAN TANPA SENJATA;;SENJATA JARAK DEKAT;;TIDAK JELAS;;;;1;1;;;;;;;IYA;POLISI (KEPOLISIAN SEKTOR MAKASSAR);AKTOR NEGARA;POLISI (KEPOLISIAN RESORTABES MAKASSAR);AKTOR NEGARA;BERHASIL;10 Agustus 2021, Pasar Karuwisi Makassar, Kelompok Pemuda, Tidak diketahui;;
29; 23/08/2021 22:15:01;12HS24091902;;24/09/19;24;9;2019;SUMATERA UTARA;12;KOTA MEDAN;1275;MEDAN PETISAH;1275130;;;POLISI;AKTOR NEGARA;TIDAK;;;;-99;TNI (KOMANDO DISTRIK MILITER 0201/BS);AKTOR NEGARA;TIDAK;;;;-99;TIDAK JELAS;;TIDAK JELAS;;TIDAK JELAS;;;;;0;;;;;;;TIDAK;;;;;;Pada 24 September 2019, pasukan kepolisian di Medan hendak membubarkan paksa mahasiswa pendemo yang mencari suaka di Markas Komando Kodim 0201/BS menggunakan water cannon, mengenai beberapa anggota TNI yang kemudian hendak membalas.;;
30; 23/08/2021 22:18:16;73RM28072101;;28/07/21;28;7;2021;SULAWESI SELATAN;73;KOTA MAKASSAR;7371;MANGGALA;7371101;;;PEMUDA;AKTOR NON NEGARA;TIDAK;;;;11;WARGA;AKTOR NON NEGARA;TIDAK;;;;11;SERANGAN TANPA SENJATA;;SENJATA JARAK DEKAT;;TIDAK JELAS;;;1;;1;;;;;;;IYA;POLISI (KEPOLISIAN SEKTOR MANGGALA);AKTOR NEGARA;POLISI (KEPOLISIAN RESOR MAKASSAR);AKTOR NEGARA;BERHASIL;28 Juli 2021, Kecamatan Manggala, Kelompok pemuda melawan juru parkir, tidak jelas;;
31; 23/08/2021 22:23:14;31HS24091903;;24/09/19;24;9;2019;DKI JAKARTA;31;KOTA JAKARTA PUSAT;3173;TANAH ABANG;3173010;BENDUNGAN HILIR;3173010002;POLISI (BRIGADE MOBIL);AKTOR NEGARA;TIDAK;;;;-99;PELAJAR (MAHASISWA);AKTOR NON NEGARA;TIDAK;TNI (ANGKATAN LAUT);AKTOR NEGARA;TIDAK;-99;SERANGAN TANPA SENJATA;;BAHAN KIMIA/BIOLOGIS;;ISU PENEGAKAN HUKUM;;;;;0;;;;;;;TIDAK;;;;;;Pada tanggal 24 September 2019, anggota Brimob yang hendak membubarkan kerumunan mahasiswa pendemo di Bendungan Hilir, Jakarta Pusat, melempar gas air mata ke dalam kompleks mess TNI-AL yang digunakan pendemo sebagai suaka.;;
32; 23/08/2021 22:39:14;31HS24091904;;24/09/19;24;9;2019;DKI JAKARTA;31;KOTA JAKARTA PUSAT;3173;TANAH ABANG;3173010;;;POLISI;AKTOR NEGARA;TIDAK;;;;1;JURNALIS (KOMPAS.COM);AKTOR NON NEGARA;TIDAK;;;;1;INTIMIDASI MASSA/PUBLIK;;SENJATA JARAK DEKAT;;ISU PENEGAKAN HUKUM;;;;1;1;;;;;;;TIDAK;;;;;;Pada tanggal 24 September 2019, jurnalis Kompas.com Nibras Nada Nailufar menerima intimidasi dari seorang petugas polisi di JCC, Kompleks Gelora Bung Karno, Tanah Abang, Jakarta Pusat, setelah mencoba merekam tindakan penganiayaan beberapa polisi terhadap seorang korban setengah sadar. Polisi memintanya untuk menghapus rekaman dan sempat memaksa merebut kamera.;;
33; 23/08/2021 22:44:22;17NR23082101;;23/08/21;23;8;2021;BENGKULU;17;KABUPATEN REJANG LEBONG;1702;CURUP TENGAH;1702044;AIR BANG;1702044008;PELAJAR (SMP);AKTOR NON NEGARA;TIDAK;;;;1;PELAJAR (SMA);AKTOR NON NEGARA;TIDAK;PELAJAR;AKTOR NON NEGARA;TIDAK JELAS;5;SERANGAN TANPA SENJATA;INTIMIDASI MASSA/PUBLIK;SENJATA JARAK DEKAT;;TIDAK JELAS;;;;1;1;;1;;;;;IYA;PEJABAT PUBLIK (PEKERJA SOSIAL KEMENSOS KABUPATEN REJANG LEBONG);AKTOR NEGARA;;;TIDAK JELAS;Terliput pada tanggal 23 Agustus 2021 dari Stadion Kelurahan Air Bang Kecamatan Curup Tengah 4 pelajar SMA melakukan aksi pemukulan kepada 1 pelajar SMP dengan 1 rekan pelajar SMA meliputi kejadian dan diunggah ke sosial media.;;
34; 23/08/2021 22:51:33;73HS24091905;;24/09/19;24;9;2019;SULAWESI SELATAN;73;KOTA MAKASSAR;7371;PANAKKUKANG;7371100;;;POLISI;AKTOR NEGARA;TIDAK;;;;-99;JURNALIS;AKTOR NON NEGARA;TIDAK;;;;3;SERANGAN TANPA SENJATA;;SENJATA JARAK DEKAT;;ISU PENEGAKAN HUKUM;;;;3;3;;;;;;;TIDAK;;;;;;Pada tanggal 24 September 2019, jurnalis Darwin, Saiful, dan Ishak menerima tindakan kekerasan oleh polisi saat meliput peristiwa demonstrasi mahasiswa di depan gedung DPRD Sulawesi Selatan di Panakkukang, Makassar, Sulawesi Selatan, di tengah nuansa penolakan mahasiswa terhadap revisi UU KUHP.;;
35; 23/08/2021 23:30:48;33RM23082101;;19/08/21;19;8;2021;JAWA TENGAH;33;KOTA SEMARANG;3374;TUGU;3374150;;;POLISI (KEPOLISIAN DAERAH JAWA TENGAH);AKTOR NEGARA;TIDAK;;;;2;WARGA;AKTOR NON NEGARA;TIDAK;;;;2;SERANGAN BERSENJATA;;SENJATA API;;ISU PENEGAKAN HUKUM;;;;1;1;;;;;;;TIDAK;;;;;;19 Agustus 2021, Jalan Raya Mangkang, Polda Jateng menangkap satu pelaku pelemparan batu yakni NM dengan menembak kakinya sementara satu pelaku lainnya berhasil kabur, penegakan hukum;;
